,Timestamp,ensemble_optimization_score,single_best_optimization_score,single_best_train_score
0,2023-04-09 11:32:09.767370,0.1,,
45,2023-04-09 11:32:23.000000,0.1,0.9804614319033816,1.0
44,2023-04-09 11:32:23.000000,0.1,0.9804614319033816,1.0
1,2023-04-09 11:32:24.403938,0.9780046573224002,0.9804614319033816,1.0
2,2023-04-09 11:32:24.403938,0.9780046573224002,0.9804614319033816,1.0
3,2023-04-09 11:32:24.403938,0.9780046573224002,0.9804614319033816,1.0
4,2023-04-09 11:32:50.927290,0.9784789909273355,0.9804614319033816,1.0
40,2023-04-09 11:32:58.000000,0.9784789909273355,0.9770357695171545,1.0
5,2023-04-09 11:33:01.133308,0.9795718443441327,0.9770357695171545,1.0
6,2023-04-09 11:33:10.647381,0.9798002763689718,0.9770357695171545,1.0
7,2023-04-09 11:33:10.647381,0.9798002763689718,0.9770357695171545,1.0
34,2023-04-09 11:33:17.000000,0.9798002763689718,0.97050650943056,1.0
35,2023-04-09 11:33:17.000000,0.9798002763689718,0.97050650943056,1.0
36,2023-04-09 11:33:17.000000,0.9798002763689718,0.9832136714829862,1.0
38,2023-04-09 11:33:17.000000,0.9798002763689718,0.9832136714829862,1.0
39,2023-04-09 11:33:17.000000,0.9798002763689718,0.9832136714829862,1.0
37,2023-04-09 11:33:17.000000,0.9798002763689718,0.9832136714829862,1.0
26,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
33,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
31,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
30,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
29,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
28,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
27,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
25,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
32,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
23,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
24,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
9,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
10,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
11,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
12,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
13,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
14,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
15,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
8,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
17,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
16,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
22,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
20,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
21,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
18,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
19,2023-04-09 11:33:29.930935,0.9881305602456628,0.9832136714829862,1.0
70,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
71,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
72,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
77,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
73,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
74,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
75,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
76,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
69,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
78,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
81,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
80,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
82,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
83,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
84,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
85,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
86,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
87,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
88,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
68,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
79,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
66,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
67,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
64,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
47,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
48,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
49,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
50,2023-04-09 11:35:15.000000,0.9881305602456628,0.9838986259872335,1.0
