,Timestamp,ensemble_optimization_score,single_best_optimization_score,single_best_train_score
0,2023-04-07 15:59:30.721296,0.584652527777186,,
69,2023-04-07 15:59:35.000000,0.584652527777186,0.675637553599639,1.0
68,2023-04-07 15:59:35.000000,0.584652527777186,0.675637553599639,1.0
67,2023-04-07 15:59:35.000000,0.584652527777186,0.675637553599639,1.0
66,2023-04-07 15:59:35.000000,0.584652527777186,0.675637553599639,1.0
65,2023-04-07 15:59:35.000000,0.584652527777186,0.675637553599639,1.0
70,2023-04-07 15:59:35.000000,0.584652527777186,0.675637553599639,1.0
1,2023-04-07 15:59:36.909470,0.6959626728899556,0.675637553599639,1.0
2,2023-04-07 15:59:40.805334,0.70760057025776,0.675637553599639,1.0
62,2023-04-07 15:59:41.000000,0.70760057025776,0.5913789212367412,1.0
63,2023-04-07 15:59:41.000000,0.70760057025776,0.5913789212367412,1.0
64,2023-04-07 15:59:41.000000,0.70760057025776,0.5913789212367412,1.0
6,2023-04-07 15:59:42.904076,0.7099047177231979,0.5913789212367412,1.0
3,2023-04-07 15:59:42.904076,0.7099047177231979,0.5913789212367412,1.0
4,2023-04-07 15:59:42.904076,0.7099047177231979,0.5913789212367412,1.0
5,2023-04-07 15:59:42.904076,0.7099047177231979,0.5913789212367412,1.0
74,2023-04-07 15:59:58.000000,0.7099047177231979,0.6916303962343231,1.0
76,2023-04-07 15:59:58.000000,0.7099047177231979,0.6916303962343231,1.0
75,2023-04-07 15:59:58.000000,0.7099047177231979,0.6916303962343231,1.0
77,2023-04-07 15:59:58.000000,0.7099047177231979,0.6916303962343231,1.0
97,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
96,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
95,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
94,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
93,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
92,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
91,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
90,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
89,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
87,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
86,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
85,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
84,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
83,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
98,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
81,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
80,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
79,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
78,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
88,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
82,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
99,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
101,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
129,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
128,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
127,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
126,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
125,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
124,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
123,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
122,2023-04-07 16:00:01.000000,0.7099047177231979,0.7149160137988845,0.9339547735339463
